사업장명,소재지전체주소,소재지우편번호,소재지전화번호,경도,위도
영산가축병원<산업동물출장진료전문병원>,경상남도 창녕군 영산면 서리 110-3번지 5통3반,,,128.530162883693,35.4546000820655
미소종합동물병원,경상남도 고성군 고성읍 송학리 416-58번지,,055-6737194,128.324660655133,34.9816503548312
서울동물병원,경상남도 고성군 고성읍 수남리 542-31번지,,055-673-8875,128.320260478768,34.9698200868482
현대동물병원(출장진료전문병원),경상남도 함양군 함양읍 교산리 189-1번지 6통2반,,055-963-4569,127.728942970106,35.5241440153659
이수의과동물병원,경상남도 함양군 안의면 금천리 115-5번지,,,127.81336957717,35.6280566676698
진동물병원,경상남도 함양군 함양읍 교산리 396-1번지,,,127.73386587225,35.5307191972386
신성가축병원,경상남도 함양군 함양읍 용평리 646-2번지,,055-964-0095,127.730149814717,35.5178100784891
형제동물병원,경상남도 함양군 함양읍 백연리 340,,,127.721714909267,35.5165969723204
함양동물병원,경상남도 함양군 함양읍 용평리 628-7번지 105호,,0559638875,127.731342738802,35.5192590529833
새마을동물병원,충청남도 예산군 예산읍 주교리 225-1번지 2통우영연립 A동 203호,,,126.830076787057,36.6856590730832
김태오 동물병원,충청남도 예산군 덕산면 읍내리 234-12번지 2통,,,126.669446220077,36.7046827971243
흙 동물병원,충청남도 예산군 예산읍 예산리 182,,,126.852144162784,36.681027245345
중앙 동물병원,충청남도 예산군 고덕면 대천리 663번지 1통삼미아파트 B동 603호,,,undefined,undefined
예산 동물병원,충청남도 예산군 예산읍 주교리 240-5번지 1통,,,126.829086948932,36.6837305917867
한솔가축병원,충청남도 예산군 삽교읍 송산리 73-5번지,,,126.686934553531,36.6948797917627
협동동물병원,충청남도 예산군 예산읍 예산리 880번지 한양아파트 30동 1103호,,,undefined,undefined
강이동물병원,충청남도 예산군 광시면 광시리 657-2번지 104호,,,126.775966143936,36.5514797282729
천안축산업협동조합 부설동물병원,충청남도 천안시 동남구 청당동 511,,556-8207,127.153625559452,36.7825160417713
우리동물병원,충청남도 천안시 서북구 쌍용동 1169번지,,571-9318,127.131396465202,36.8020559199555
장원동물병원,충청남도 천안시 동남구 원성동 587-10번지,,567-4723,127.157985858712,36.798889145291
하나동물병원,충청남도 천안시 서북구 성환읍 매주리 330-1,,582-9600,127.127877442256,36.9116749447394
그림동물병원,충청남도 천안시 동남구 성황동 10-16번지,,041-568-7277,127.150767386717,36.8162811213182
에니펫동물병원,충청남도 천안시 동남구 신부동 816번지 대흥빌딩,,523-0275,127.158497329203,36.8196386046302
펫프렌즈동물병원,충청남도 천안시 서북구 두정동 1263번지 주차빌딩101,,568-7533,127.139608429154,36.8339706140114
김수영 동물병원,충청남도 천안시 서북구 쌍용동 1544-1번지 쌍용메디칼,,572-8275,127.117891227418,36.7983743418812
충남야생동물구조센터,충청남도 예산군 예산읍 대회리 1 공주대학교 산업과학대학 내,,334-1666,126.859666097707,36.6700813888957
KU건국동물병원,충청남도 예산군 예산읍 산성리,,335-1023,126.83841391804,36.6923091126649
윤동물병원·약품(출장진료전문),충청남도 예산군 고덕면 대천리 728-18번지,,,126.704291008034,36.7464356862789
마일스톤피그클리닉(출장진료전문),충청남도 예산군 삽교읍 신리 316-46,,,126.673997504667,36.6768494077896
고려동물병원,충청남도 천안시 동남구 신부동 319-37번지,,041-557-8575,127.152447279135,36.8234533381868
서현동물병원,충청남도 천안시 동남구 청수동 262번지 청솔LG아파트 상가 지하1층 2호,,,127.156219836111,36.7912754545656
다산동물병원,충청남도 천안시 동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호,,544-8834,127.157702161093,36.7918994116855
서일가축병원,충청남도 천안시 동남구 삼룡동 140-3,,,127.171655685224,36.7838360335062
가온동물병원,충청남도 천안시 동남구 청당동 153-15,,553-5534,127.155117332526,36.7809183220023
열린동물병원,충청남도 천안시 동남구 신부동 388-5번지 천광빌딩,,564-0075,127.151515872537,36.8180665290814
서일동물병원,충청남도 천안시 동남구 삼룡동 146-28,,041-551-5659,127.171563224773,36.7832665726397
충일,충청남도 천안시 서북구 성환읍 성환리 449-118번지,,581-2301,127.12787562573,36.9156956321206
유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),충청남도 천안시 동남구 신방동 263-3번지,,041-565-5297,127.132361136051,36.7679817327406
태성동물병원,충청남도 천안시 서북구 성환읍 성환리 449-342번지,,,127.127443097468,36.9193203883707
나음동물병원,충청남도 천안시 동남구 신방동 1536번지,,578-4575,127.132161276645,36.7737655010881
다솜동물병원,충청남도 천안시 동남구 신방동 49-14번지 이화빌딩,,579-8252,127.12843053879,36.7890014038963
치유동물병원,충청남도 천안시 동남구 봉명동 32-1,,041-900-7582,127.139467743251,36.8027762691414
다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),충청남도 천안시 동남구 수신면 속창리 134-6번지,,,127.283395033611,36.7321852574923
서울88동물의료원,충청남도 천안시 동남구 신부동 88-3,,,127.158595857786,36.815840748852
늘푸른동물병원두정의료센터,충청남도 천안시 서북구 성정동 434-9,,,127.137020115059,36.8252311694707
중앙동물병원,충청남도 천안시 동남구 원성동 601-1번지,,041-555-7575,127.153777505808,36.7989610727394
녹십자,충청남도 천안시 동남구 영성동 67-3번지 18통3반,,041-551-5989,127.151938511491,36.7993464087976
천안공주낙농축산업협동조합부설동물병원,충청남도 천안시 서북구 성환읍 매주리 435-1,,581-4414,127.129397939785,36.9047553162681
대전충남 양돈축산업협동조합 부설동물병원,충청남도 천안시 동남구 다가동 373-3번지,,570-1378,127.136138326167,36.8007447855295
동물병원닥터스,충청남도 천안시 서북구 불당동 1220 1층호,,,127.112033613277,36.8031456255896
한일동물병원,충청북도 제천시 명동 11-9번지,,043-643-3037,128.207060890805,37.1373665362133
명진동물병원,충청북도 제천시 하소동 165-59번지,,645-8272,128.195016570819,37.133239883114
제천 그레이스 동물병원,충청북도 제천시 장락동 635-27,,043-652-7582,128.222470075618,37.1522885311791
삼성가축병원,충청북도 음성군 삼성면 덕정리 525-19,,,127.498311545528,37.0183978235823
음성동물병원,충청북도 음성군 음성읍 읍내리 549-12 6통3반,,043-872-2262,127.689988803328,36.9365732107418
금왕동물병원,충청북도 음성군 금왕읍 금석리 275-10,,,127.598463296099,36.9892024866221
남영가축병원 (출장진료전문병원),충청북도 음성군 음성읍 읍내리 398-7번지,,872-7747,127.692066848963,36.9275447905548
현대동물병원,충청북도 음성군 금왕읍 무극리 551-25,,,127.590030051647,36.9875088802813
반석가금진료연구소,충청북도 음성군 대소면 대풍리 524-2번지,,043-535-6426,127.451833853924,36.9855164365133
대소동물병원,충청북도 음성군 대소면 태생리 519번지,,0438837511,127.49361270431,36.9667991546384
그린벨동물의료센터,충청북도 음성군 맹동면 동성리 501,,043-882-7975,127.541069170631,36.9078029950575
음성축산업협동조합 동물병원,충청북도 음성군 음성읍 읍내리 314-9,,873-9303,127.692085045694,36.9362985313017
진주동물병원,충청북도 제천시 중앙로2가 27-10번지 9통3반,,043-647-6100,128.209922585691,37.1396211380927
바우미우동물병원,서울특별시 중구 신당동 336-3 명덕빌딩,,2237-3366,127.012841309292,37.5592935543259
황동물병원,서울특별시 중구 묵정동 32-1,,2278-0075,127.000005659192,37.5623720577883
서울종합동물병원,서울특별시 성북구 보문동2가 49번지,,928-5599,127.018196696318,37.5871048516249
대학동물병원,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,,918-3344,127.06101917786,37.6136471815814
강북동물병원,서울특별시 성북구 종암동 19-1번지,,924-4555,127.035165034913,37.5962075231397
스머프동물병원,서울특별시 은평구 응암동 194-23,,02-969-7582,126.925089841243,37.5982022542055
다루동물병원,서울특별시 은평구 불광동 554-1번지 1층,,02-356-8353,126.93210904217,37.612378530325
도담동물병원,서울특별시 은평구 역촌동 51-22번지,,02-388-0275,126.91114785734,37.6057255811792
미래동물병원,서울특별시 은평구 갈현동 498-3번지,,386-6092,126.912333756063,37.6137764449342
더독동물병원,서울특별시 은평구 대조동 224-24번지,,382-3243,126.917615091413,37.611363257932
오렌지동물병원,서울특별시 성동구 행당동 322-100번지,,02-2297-7582,127.033968008257,37.5560421722437
웰펫동물병원,서울특별시 중구 신당동 373-64번지,,2256-7582,127.011485903112,37.5543120791536
남서울동물병원,서울특별시 서초구 방배동 809-1,,02-582-2186,126.991653922635,37.4924396869411
서초동물병원,서울특별시 서초구 서초동 1603-66,,582-2357,127.017041790523,37.4854625194797
강남서초 동물병원,서울특별시 서초구 서초동 1648-9번지,,598-9875,127.020370681552,37.4902815741307
아델 동물병원,서울특별시 서초구 서초동 1534-2번지 명성빌딩,,522-0222,127.010806650446,37.4845279174756
동물제중원금손이 동물병원,서울특별시 서초구 방배동 894-2 선빌딩 101호,,581-5500,126.996069062546,37.4881096737633
다니엘동물병원,서울특별시 서초구 서초동 1486-2 삼양빌딩,,02-585-0087,127.007713012429,37.4831255598532
우신동물병원,서울특별시 양천구 신월동 501-12,,2693-8883,126.85140802136,37.5225684690365
강현림 종합동물병원,서울특별시 양천구 목동 657-16,,2642-9159,126.862445368575,37.5440718691504
해성동물병원,서울특별시 양천구 신정동 1020-17,,02-2651-9953,126.860136415269,37.5206268363349
두리종합동물병원,서울특별시 서초구 반포동 18-3 래미안퍼스티지 중심상가 147-8호,,02-3476-7522,127.00085217962,37.5043398401292
디아나동물병원,서울특별시 서초구 방배동 925-8번지,,025219010,126.995247363152,37.4846566197136
이상록동물병원,서울특별시 서초구 잠원동 50-5 신사쇼핑센터 102-2호,,02-533-5505,127.014709118561,37.5161595665293
햇살동물병원,서울특별시 양천구 신월동 446-4번지,,2690-5673,126.842326643788,37.5238254851695
행복한세상동물병원,서울특별시 양천구 목동 917-6 지하2층,,2645-7582,126.876083727615,37.5293734590838
제인동물병원,서울특별시 성동구 성수동2가 339-23번지,,02-468-7582,127.054689566686,37.5390484938627
Dr.윤24시동물병원,서울특별시 은평구 대조동 187-24번지,,02-359-2020,126.923174463877,37.6165476016904
한빛동물병원,서울특별시 성동구 금호동2가 485-1,,02-2233-1848,127.021044877273,37.548031254807
아지동물병원,서울특별시 성동구 금호동4가 1108번지 지상1층,,02-6085-7750,127.019550940446,37.5533442484419
24시센트럴동물메디컬센터,서울특별시 성동구 행당동 318-36,,02-3395-7975,127.033691126496,37.5586794707077
리더스 동물병원,서울특별시 양천구 신정동 117-37,,02-2652-1865,126.874248631274,37.5216614679751
오석헌동물병원,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,,02-6402-0301,127.013714834954,37.5451371536209
뉴타운동물병원,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,,385-8275,126.922606227427,37.6419845917915
도그원 동물의료센터,"서울특별시 은평구 갈현동 431-5번지 지층, 2층",,126.917731688694,37.6196408982099
24시스마트동물메디컬센터,서울특별시 은평구 응암동 91-5,,02-387-7582,126.918127027942,37.5997812109286
유림동물안과병원,서울특별시 서초구 잠원동 8-24 크레신타워 1층,,593-1045,127.01850208069,37.5180871807632
서울우유협동조합유우진료소,서울특별시 중랑구 상봉동 137-7,,2094-8344,127.072369052594,37.5917258916045
텐즈힐링동물병원,서울특별시 성동구 상왕십리동 811번지 텐즈힐몰 221동 134호,,02-2295-0975,127.025374102832,37.5693369136369
펫365동물병원,서울특별시 성동구 금호동4가 1338번지 10통4반 현대ESA아파트 910호,,2282-3653,undefined,undefined
민병철동물병원,서울특별시 양천구 신월동 50-5번지,,2695-1231,126.828445319035,37.5361921012975
서울숲동물병원,서울특별시 성동구 성수동2가 333-3번지 1층,,02-466-2475,127.018140421956,37.542279937988
옥수수 동물병원,서울특별시 성동구 옥수동 560 어울림상가 301~4호,,02-2291-7582,126.870383328651,37.52599390147
쿨펫이마트 목동점 동물병원,서울특별시 양천구 목동 962 목동트라팰리스,,2645-2727,127.05322919391,37.5390986260584
둘레길동물병원,서울특별시 은평구 불광동 104-94번지,,02-354-7544,126.927698118453,37.6237561080083
개와냥이동물병원,서울특별시 은평구 대조동 14-27번지 2층,,02-352-7275,126.929216752286,37.6102070694449
참좋은동물병원,서울특별시 은평구 응암동 244-212번지,,02-3152-0075,126.922459040896,37.5882140537434
우신동물병원,서울특별시 은평구 역촌동 22-49번지 101호,,356-7547,126.91571108049,37.6055695433843
메디펫동물병원,서울특별시 은평구 갈현동 394-27번지,,02-384-0075,126.919522804747,37.6219818174442
윤신근박사동물병원,서울특별시 중구 필동2가 53,,2274-8558,126.996856237077,37.561629054102
노아동물병원,서울특별시 양천구 신정동 294-62번지,,0226546183,126.870691843481,37.5184486171217
양천종합동물병원,서울특별시 양천구 신월동 444-11,,2607-0022,126.842638360511,37.5222906840829
한수24시동물병원,서울특별시 은평구 증산동 174-6번지 103호,,306-8575,126.907044128985,37.5818011866665
로얄동물병원,서울특별시 은평구 구산동 1-1번지,,354-0975,126.916803718522,37.6111532088093
교대동물병원,서울특별시 서초구 서초동 1690-2번지 지상1층,,596-1175,127.017034339887,37.4949754490114
필동물종합병원,서울특별시 양천구 목동 805-1,,2649-0774,126.864130888205,37.5314421652678
반포자이동물병원,서울특별시 서초구 반포동 20-51 베리스타운102/108호,,02-3476-3535,127.013938858828,37.5066786612268
하나동물병원,서울특별시 서초구 신원동 412-5번지 힐스테이트서초잰트리스 103호,,02-574-0511,undefined,undefined
가나종합동물병원,서울특별시 양천구 목동 907번지 현대월드타워 160호,,2645-7588,126.878041716103,37.5359862287354
닥터펫동물병원,서울특별시 양천구 목동 919-7 홈플러스목동점,,2643-0283,126.871655154602,37.5303330707421
담은동물병원,"서울특별시 은평구 불광동 643 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호",126.926683005796,37.6165291109629
신정 동물병원,서울특별시 양천구 신정동 987-3 1층,,2697-7576,126.85946470682,37.5252696226449
토론토 동물병원,서울특별시 양천구 목동 657-21번지 등촌빌딩,,2642-8653,126.862610533488,37.5450201823009
다온동물병원,서울특별시 성동구 하왕십리동 1070번지 센트라스,,02-2039-7572,127.028440866987,37.5663313038338
달링동물병원,서울특별시 성동구 성수동1가 718번지 트리마제,,02-466-8215,127.045045893181,37.5388239825147
바른동물병원,서울특별시 중구 황학동 2523 황학 아크로타워,,02-2232-7975,127.021909314822,37.5661715985315
오거리동물병원,서울특별시 은평구 응암동 589-12번지 2층,,02-306-0158,126.915971407838,37.5907966324543
LOVE MY PET 동물병원,서울특별시 은평구 응암동 74-14번지,,382-7582,126.930737219985,37.6010440944832
이리온 양재점,서울특별시 서초구 양재동 215번지 이마트 양재점 지하1층,,577-6125,127.037013361398,37.4633952796697
꿈꾸는 동물병원,서울특별시 서초구 반포동 30-25번지 반포리체상가 106호,,592-0202,127.01206363194,37.5029533004567
에이블 동물병원,서울특별시 서초구 양재동 4-14,,2058-1882,127.041667899548,37.4809182907682
포레동물병원,서울특별시 성동구 성수동1가 22-28번지 1층,,02-468-7975,127.049199781224,37.5436312308296
서이동물병원,서울특별시 서초구 서초동 1332-7,,3472-8275,127.024858328675,37.4917699903815
우면동물병원,서울특별시 서초구 우면동 66-2 우면세신상가 201호,,02-578-7572,127.025376496511,37.4708501640767
왕십리조은동물병원,서울특별시 성동구 하왕십리동 892-4번지,,02-2297-0075,127.027878788113,37.5645673776612
페토브 동물병원,"서울특별시 양천구 신정동 329 목동신시가지아파트14단지 B상가 117,호",,126.870337507112,37.5161909461632
24시 서울 탑 동물병원,서울특별시 양천구 신정동 1182-11,,02-2601-8875,126.853625987511,37.5177287117994
수동물병원,서울특별시 서초구 방배동 790-27번지,,534-9773,126.986453219225,37.4924943467119
내방동물병원,서울특별시 서초구 방배동 898-3,,3473-8274,126.994127785067,37.4874652824095
스테이동물병원,서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스,,02-2282-7501,127.013994845948,37.5484774843118
신반포종합동물병원,서울특별시 서초구 반포동 56-1번지,,02-537-0075,127.010793077636,37.5033536500806
두암동물병원,서울특별시 양천구 목동 507-2 덕수프라자,,8464597,126.871376039592,37.5468726876177
캐슬동물종합병원,서울특별시 양천구 신정동 202-13 쌍용빌딩 4층,,02-2060-0999,126.864546073022,37.5078034909375
24시예스동물병원,서울특별시 서초구 반포동 20-45 반포자이프라자 133호,,534-3475,127.00984142892,37.5071275939835
우리동물병원,서울특별시 서대문구 영천동 299,,393-6675,126.961289080719,37.5709254427078
빛가온동물병원,서울특별시 서대문구 홍제동 90-67,,736-5834,126.949300245873,37.5835248208552
레스펫동물병원,서울특별시 서초구 양재동 2-43 동리빌딩,,02-575-0855,127.041269644244,37.4849295409666
파리스동물병원,"서울특별시 양천구 목동 903번지 목동신시가지아파트3단지 상가동 105호, 204호",,126.872949042002,37.534359239478
구름동물병원,서울특별시 양천구 신정동 1320-2번지 신정프라자 203호,,2694-8275,126.832550890708,37.5128987294301
공원옆동물병원,서울특별시 양천구 신정동 321-6번지 센트럴프라자 104호,,2650-8275,126.865497622785,37.5174942406627
밀리언동물병원,서울특별시 양천구 신정동 1028-4번지,,02-2061-5277,126.85646465293,37.5213244921343
리베동물메디컬센터,서울특별시 양천구 목동 408-115,,02-2604-0156,126.868225166276,37.5251605194493
VIP동물의료센터 서초동작점,"서울특별시 서초구 방배동 442-3 대광빌딩 1,2층",,126.982156240036,37.4796741404796
서초M동물의료센터,서울특별시 서초구 서초동 1624-1 영빌딩,,02-588-7511,127.014893390862,37.4883091845936
이삭동물병원,서울특별시 서초구 방배동 464-11번지,,02-3472-1188,126.984392618117,37.4804178797171
이윤세동물병원,서울특별시 성동구 행당동 346번지 한진노변상가 109호,,02-2282-7503,127.029207383318,37.5558804553964
한양동물메디컬센터,서울특별시 성동구 행당동 226-3번지,,02-2281-5200,127.037013959674,37.5596617338317
백슬동물병원,서울특별시 중구 만리동2가 288번지 서울역한라비발디센트럴,,02-393-7588,126.965563662247,37.555089772234
혜인종합 동물병원,서울특별시 양천구 목동 613-8번지 혜인빌딩,,2645-1475,126.86390614622,37.5491506873736
다온동물병원,서울특별시 양천구 신정동 1052-3,,02-2643-8204,126.854637278328,37.5171877373065
야옹동물병원,서울특별시 은평구 신사동 35-20 동현빌딩,,354-0087,126.913808999693,37.5932529788187
신세계 동물병원,서울특별시 서초구 반포동 18-3번지 래미안퍼스티지 중심상가 143호,,537-7412,127.00085217962,37.5043398401292
서울햇빛동물병원,서울특별시 은평구 진관동 82번지 은평뉴타운우물골아파트 두산위브 202동 B01호,,02-387-8275,126.92455178598,37.6345826403906
서래동물병원,서울특별시 서초구 반포동 91-10,,02-6052-8275,126.998524438945,37.4983572447819
한빛동물병원,서울특별시 은평구 진관동 5번지 은평뉴타운상림마을 629동 116호,,382-7511,126.928847230347,37.6479604213713
HELP 유기동물 의료센터,서울특별시 서초구 방배동 871-3 동오빌딩,,583-7580,126.990681087665,37.4871638538282
심바동물병원,서울특별시 서초구 방배동 951-3 대진빌딩,,02-523-0275,126.985213230329,37.4854697609886
해뜨는 동물병원 해질녘책방,서울특별시 서초구 잠원동 58-24 뉴타운,,025366469,127.014146537636,37.5146167564007
닥터 아이펫 동물병원,서울특별시 중랑구 상봉동 99-10,,2208-0329,127.087472781639,37.5972289212894
도그플러스 동물병원,서울특별시 중랑구 신내동 645번지 홈플러스 2층,,3421-9075,127.093763274723,37.6157946569345
행복이 있는 동물병원,서울특별시 중랑구 신내동 405-5번지,,02-433-3387,127.098145406259,37.6078046399568
보담동물병원,서울특별시 중랑구 면목동 17-31번지,,02-494-7775,127.097404107108,37.5899506825289
금호동물병원,서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동 비201호,,0222810049,127.024541411946,37.5512924647715
오라고동물병원,서울특별시 양천구 목동 603-2번지 대우마이빌 102호,,2643-7579,126.86690650661,37.5495045955667
팜랜드동물병원,서울특별시 양천구 목동 799-1번지 1층,,6348-1982,126.868489528767,37.5328382442543
대현동물병원,서울특별시 양천구 목동 531-13번지 101호,,2651-1855,126.870895395576,37.5444751465519
서서울호수동물병원,서울특별시 양천구 신월동 130-5번지 1층,,6959-8448,126.832419357083,37.5302922027954
바른동물병원,서울특별시 성동구 금호동4가 800번지 금호동대우아파트 상가동 206호,,02-2297-7570,127.01982172766,37.5459699809305
기린동물병원,서울특별시 성동구 마장동 791-9번지,,02-2291-8275,127.042776218403,37.5656924086616
한나동물병원,서울특별시 서초구 방배동 758-2번지,,02-595-8875,126.987734849333,37.496639479098
서초힐스동물병원,서울특별시 서초구 우면동 737 6단지상가 104호,,02-574-7582,undefined,undefined
늘푸른동물병원,서울특별시 은평구 신사동 20-24번지,,388-3008,126.911008505024,37.5982616730144
프렌즈동물병원,서울특별시 서초구 방배동 984-1 머리재빌딩 105호,,597-7522,126.998335964195,37.4811938567076
반려동물 의료센터 다울,서울특별시 서초구 방배동 915-10 우성빌딩,,02-3473-0911,126.99460350304,37.4807680184186
메디펫 동물병원,서울특별시 서초구 서초동 1343-1,,02-586-7501,127.025936199372,37.4875726846892
헬릭스동물메디컬센터,서울특별시 서초구 반포동 19-1 르본시티 2층,,02-2135-9119,127.00209071105,37.504888627103
에이원동물병원,서울특별시 서초구 서초동 1538-9 유민빌딩 1층,,02-521-8181,127.0090993348,37.4881366892931
녹번동물병원,서울특별시 은평구 녹번동 117-112번지,,354-4110,126.931741696212,37.608090691508
파란종합 동물병원,서울특별시 양천구 신월동 546-25,,2692-8255,126.840278724687,37.5175676168041
새은평동물의료센터,서울특별시 은평구 대조동 179-16 북한산 포레스트,,358-7566,126.922186036575,37.6075919366078
사랑의동물병원,서울특별시 서초구 양재동 257-2,,02-577-7475,127.042167373191,37.4748300828516
한 동물병원,서울특별시 서초구 양재동 377-4,,02-577-3690,127.045980491248,37.4718742483576
함께하는동물병원,서울특별시 성동구 옥수동 263-1번지,,02-2299-3283,127.013140532949,37.5430531172705
라파엘동물병원,서울특별시 서초구 반포동 722-29,,02-3444-7509,127.021896374718,37.5087777867934
일오삼동물병원,서울특별시 양천구 신월동 972-6,,2606-1990,126.834923191304,37.5205198654079
행복한동물병원,서울특별시 양천구 목동 515-1,,2655-2258,126.875391371234,37.5466983251824
상아동물병원,서울특별시 양천구 신정동 995-4번지,,2644-0069,126.864399190861,37.5246621694701
목동 동물병원,서울특별시 양천구 목동 907-10번지,,2648-8275,126.879848765621,37.5366735619395
한국동물영상의학센터,서울특별시 중랑구 중화동 207-6번지,,02-6215-3416,127.079422733557,37.5950420507638
중랑차 동물병원,서울특별시 중랑구 상봉동 137-16번지,,,127.072636397267,37.5924380515451
신당 좋아요 동물병원,서울특별시 중구 신당동 44-17,,02-2233-6675,127.019110166094,37.5605269818131
도담동물병원(출장진료전문 동물병원),서울특별시 성동구 행당동 344번지 111호,,,127.032836890544,37.5543710515072
라임동물병원,서울특별시 성동구 홍익동 398-2번지,,02-2281-8122,127.03031745974,37.5655396722531
태능동물병원,서울특별시 중랑구 묵동 175-2 3층,,973-1953,127.077579405881,37.6125959140292
혜원동물병원,서울특별시 중랑구 면목동 497-7번지 혜원동물병원,,439-8300,127.088292134268,37.5823492373302
보람동물병원,서울특별시 중랑구 면목동 353-4번지,,434-5465,127.085752184924,37.5770254262782
엔젤동물병원,서울특별시 중랑구 면목동 102-51번지,,435-0166,127.08837074103,37.5887966826909
홍상희동물병원,서울특별시 중랑구 묵동 239-76번지,,974-0339,127.077389959901,37.610665039144
하스펫탈동물병원,서울특별시 중랑구 면목동 225-7,,435-2275,127.086957993043,37.5915719765814
미니주동물병원,서울특별시 양천구 목동 601-6,,2651-8575,126.86783848465,37.5480548553279
신내동물병원,서울특별시 중랑구 중화동 11-36번지 삼일시티빌 1층,,3422-0001,127.085717341513,37.6027157101309
진정훈동물병원,서울특별시 중랑구 중화동 305-44 유정빌딩,,2207-0073,127.07876708248,37.601780550215
성지동물병원,서울특별시 중랑구 면목동 634-5,,493-7582,127.087773471385,37.5799133378644
금란동물병원,서울특별시 중랑구 망우동 364-27 금란동물병원,,492-7582,127.100596845892,37.5984502096017
24시 동물응급의료센터,서울특별시 중랑구 중화동 207 지하1층,,2208-7533,127.080019781121,37.5954356510062
연희동물병원,서울특별시 서대문구 연희동 89-9번지,,332-2883,126.932084899166,37.5691612601732
리즈동물병원,서울특별시 서초구 잠원동 49-8번지,,535-7579,127.015130604916,37.5213183876092
평생피부과동물병원,서울특별시 성동구 행당동 346 한진노변상가 110호,,02-3395-0075,127.029207383318,37.5558804553964
리즈동물병원,서울특별시 양천구 목동 773-3 106호,,2062-1110,126.869489817137,37.5335378094632
참사랑동물병원,서울특별시 양천구 신정동 337-7,,2643-7882,126.86509951517,37.5082226407514
금쪽같은내새끼 동물병원,서울특별시 은평구 갈현동 462-25번지,,384-7743,126.917827357759,37.6153586594272
한마음동물병원,서울특별시 은평구 신사동 9-34번지,,355-7931,126.910117884748,37.600993432318
